"","Tm","Year","Date","Time","LTime","at","Opp","Week","G.","Day","Result","OT","Location","Surface","Roof","Temperature","turf_spec","Stadium","Surface_detailed","Surface_3cat","Surface_2cat","n_injs","Surface_all","TeamYear"
"1","BAL",2023,"10/15/2023","","","@","TEN",6,6,"Sun","W 24-16","","LON-Tot","ubu/turfnation","","","","LON-Tot","UBU/Turfnation","Artificial Slit-Film","Artificial Turf",2,"UBU/Turfnation","BAL 2023"
"2","BUF",2023,"10/8/2023","","","","JAX",5,5,"Sun","L 20-25","","LON-Tot","ubu/turfnation","","","","LON-Tot","UBU/Turfnation","Artificial Slit-Film","Artificial Turf",2,"UBU/Turfnation","BUF 2023"
"3","JAX",2023,"10/8/2023","","","@","BUF",5,5,"Sun","W 25-20","","LON-Tot","ubu/turfnation","","","","LON-Tot","UBU/Turfnation","Artificial Slit-Film","Artificial Turf",1,"UBU/Turfnation","JAX 2023"
"4","TEN",2023,"10/15/2023","","","","BAL",6,6,"Sun","L 16-24","","LON-Tot","ubu/turfnation","","","","LON-Tot","UBU/Turfnation","Artificial Slit-Film","Artificial Turf",0,"UBU/Turfnation","TEN 2023"
"5","ARI",2023,"12/31/2023","","","@","PHI",17,16,"Sun","W 35-31","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","ARI 2023"
"6","BUF",2023,"11/26/2023","","","@","PHI",12,12,"Sun","L 34-37 (OT)","OT","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","BUF 2023"
"7","DAL",2023,"11/5/2023","","","@","PHI",9,8,"Sun","L 23-28","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","DAL 2023"
"8","MIA",2023,"10/22/2023","","","@","PHI",7,7,"Sun","L 17-31","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","MIA 2023"
"9","MIN",2023,"9/14/2023","","","@","PHI",2,2,"Thu","L 28-34","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",2,"Bermuda","MIN 2023"
"10","NYG",2023,"12/25/2023","","","@","PHI",16,15,"Mon","L 25-33","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","NYG 2023"
"11","PHI",2023,"12/31/2023","","","","ARI",17,16,"Sun","L 31-35","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","PHI 2023"
"12","PHI",2023,"12/25/2023","","","","NYG",16,15,"Mon","W 33-25","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","PHI 2023"
"13","PHI",2023,"12/3/2023","","","","SF",13,12,"Sun","L 19-42","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","PHI 2023"
"14","PHI",2023,"11/26/2023","","","","BUF",12,11,"Sun","W 37-34 (OT)","OT","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","PHI 2023"
"15","PHI",2023,"11/5/2023","","","","DAL",9,9,"Sun","W 28-23","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","PHI 2023"
"16","PHI",2023,"10/22/2023","","","","MIA",7,7,"Sun","W 31-17","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","PHI 2023"
"17","PHI",2023,"10/1/2023","","","","WAS",4,4,"Sun","W 34-31 (OT)","OT","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",4,"Bermuda","PHI 2023"
"18","PHI",2023,"9/14/2023","","","","MIN",2,2,"Thu","W 34-28","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",1,"Bermuda","PHI 2023"
"19","SF",2023,"12/3/2023","","","@","PHI",13,12,"Sun","W 42-19","","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",3,"Bermuda","SF 2023"
"20","WAS",2023,"10/1/2023","","","@","PHI",4,4,"Sun","L 31-34 (OT)","OT","PHI","grass","","","","PHI","Natural Grass","Natural Grass","Natural Grass",0,"Bermuda","WAS 2023"
"21","ARI",2023,"12/3/2023","","","@","PIT",13,13,"Sun","W 24-10","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","ARI 2023"
"22","BAL",2023,"10/8/2023","","","@","PIT",5,5,"Sun","L 10-17","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","BAL 2023"
"23","CIN",2023,"12/23/2023","","","@","PIT",16,15,"Sat","L 11-34","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",1,"Kentucky Bluegrass","CIN 2023"
"24","CLE",2023,"9/18/2023","","","@","PIT",2,2,"Mon","L 22-26","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",2,"Kentucky Bluegrass","CLE 2023"
"25","GB",2023,"11/12/2023","","","@","PIT",10,9,"Sun","L 19-23","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","GB 2023"
"26","JAX",2023,"10/29/2023","","","@","PIT",8,8,"Sun","W 20-10","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","JAX 2023"
"27","NE",2023,"12/7/2023","","","@","PIT",14,13,"Thu","W 21-18","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","NE 2023"
"28","PIT",2023,"12/23/2023","","","","CIN",16,15,"Sat","W 34-11","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","PIT 2023"
"29","PIT",2023,"12/7/2023","","","","NE",14,13,"Thu","L 18-21","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","PIT 2023"
"30","PIT",2023,"12/3/2023","","","","ARI",13,12,"Sun","L 10-24","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","PIT 2023"
"31","PIT",2023,"11/12/2023","","","","GB",10,9,"Sun","W 23-19","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",1,"Kentucky Bluegrass","PIT 2023"
"32","PIT",2023,"11/2/2023","","","","TEN",9,8,"Thu","W 20-16","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","PIT 2023"
"33","PIT",2023,"10/29/2023","","","","JAX",8,7,"Sun","L 10-20","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",3,"Kentucky Bluegrass","PIT 2023"
"34","PIT",2023,"10/8/2023","","","","BAL",5,5,"Sun","W 17-10","","PIT","grass","","","","PIT","Natural Grass","Natural Grass","Natural Grass",0,"Kentucky Bluegrass","PIT 2023"
